place_id,name,country,city,category,latitude,longitude
222,,Italy,Rome,Attraction,41.86329,12.481982
223,,Italy,Rome,Attraction,41.864155,12.481472
224,,Italy,Rome,Attraction,41.866379,12.481674
225,,Italy,Rome,Attraction,41.862327,12.482116
226,,Italy,Rome,Attraction,41.863874,12.480173
227,,Italy,Rome,Attraction,41.866367,12.481908
228,,Italy,Rome,Attraction,41.860887,12.476676
229,,Italy,Rome,Attraction,41.859441,12.477987
230,,Italy,Rome,Attraction,41.861202,12.476895
231,,Italy,Rome,Attraction,41.860246,12.478229
232,,Italy,Rome,Attraction,41.860373,12.475862
233,,Italy,Rome,Attraction,41.861683,12.48205
234,,Italy,Rome,Attraction,41.860012,12.475785
235,,Italy,Rome,Attraction,41.85801,12.47782
236,,Italy,Rome,Attraction,41.860326,12.475632
237,,Italy,Rome,Attraction,41.861197,12.477999
238,,Italy,Rome,Attraction,41.859675,12.475593
239,,Italy,Rome,Attraction,41.861567,12.482028
240,,Italy,Rome,Attraction,41.859854,12.476498
241,,Italy,Rome,Attraction,41.859963,12.475048
242,,Italy,Rome,Attraction,41.859966,12.477791
243,,Italy,Rome,Attraction,41.861605,12.4781
244,,Italy,Rome,Attraction,41.861005,12.477994
245,,Italy,Rome,Attraction,41.859729,12.475687
246,,Italy,Rome,Attraction,41.861216,12.482002
247,,Italy,Rome,Attraction,41.859565,12.475524
248,,Italy,Rome,Attraction,41.859511,12.475585
249,,Italy,Rome,Attraction,41.861052,12.476787
250,,Italy,Rome,Attraction,41.859691,12.478063
251,,Italy,Rome,Attraction,41.860264,12.475793
252,,Italy,Rome,Attraction,41.860279,12.47614
253,,Italy,Rome,Attraction,41.859887,12.475279
254,,Italy,Rome,Attraction,41.860056,12.475215
255,,Italy,Rome,Attraction,41.860139,12.475618
256,,Italy,Rome,Attraction,41.861493,12.48208
257,,Italy,Rome,Attraction,41.86006,12.476564
258,,Italy,Rome,Attraction,41.859291,12.474259
259,,Italy,Rome,Attraction,41.860473,12.477889
260,,Italy,Rome,Attraction,41.859799,12.475585
261,,Italy,Rome,Attraction,41.860747,12.47795
262,,Italy,Rome,Attraction,41.860722,12.476568
263,,Italy,Rome,Attraction,41.859881,12.475626
264,,Italy,Rome,Attraction,41.85979,12.476405
265,,Italy,Rome,Attraction,41.860401,12.475737
266,,Italy,Rome,Attraction,41.85948,12.47465
267,,Italy,Rome,Attraction,41.859793,12.475145
268,,Italy,Rome,Attraction,41.85962,12.47775
269,,Italy,Rome,Attraction,41.857684,12.477708
270,,Italy,Rome,Attraction,41.860163,12.475391
271,,Italy,Rome,Attraction,41.858194,12.47788
272,,Italy,Rome,Attraction,41.860009,12.475438
273,,Italy,Rome,Attraction,41.86129,12.482113
274,,Italy,Rome,Attraction,41.860133,12.475972
275,,Italy,Rome,Attraction,41.859742,12.474637
276,,Italy,Rome,Attraction,41.860324,12.477868
277,,Italy,Rome,Attraction,41.857842,12.477769
278,,Italy,Rome,Attraction,41.86025,12.475528
279,,Italy,Rome,Attraction,41.861413,12.478058
280,,Italy,Rome,Attraction,41.860549,12.476445
281,,Italy,Rome,Attraction,41.860619,12.477909
282,,Italy,Rome,Attraction,41.859874,12.474892
283,,Italy,Rome,Attraction,41.860136,12.47782
284,,Italy,Rome,Attraction,41.860561,12.477356
285,,Italy,Rome,Attraction,41.860431,12.476278
286,,Italy,Rome,Attraction,41.859769,12.475455
287,,Italy,Rome,Attraction,41.861255,12.48184
288,,Italy,Rome,Attraction,41.859687,12.47534
289,,Italy,Rome,Attraction,41.86136,12.477028
290,,Italy,Rome,Attraction,41.8594,12.4745
291,,Italy,Rome,Attraction,41.861052,12.477107
292,,Italy,Rome,Attraction,41.859872,12.477461
293,,Italy,Rome,Attraction,41.860405,12.477599
294,,Italy,Rome,Attraction,41.861186,12.477181
295,,Italy,Rome,Attraction,41.861086,12.477569
296,,Italy,Rome,Attraction,41.859963,12.477478
297,,Italy,Rome,Attraction,41.860179,12.477542
298,,Italy,Rome,Attraction,41.860081,12.477525
299,,Italy,Rome,Attraction,41.860505,12.477623
300,,Italy,Rome,Attraction,41.860251,12.477569
301,Musée de l'Armée,France,Paris,Attraction,48.857037,2.311878
302,Point zéro des Routes de France,France,Paris,Attraction,48.853401,2.348788
303,Musée des Arts Décoratifs,France,Paris,Attraction,48.863169,2.332951
304,Musée des Arts et Métiers,France,Paris,Attraction,48.866098,2.355414
305,Musée national Gustave Moreau,France,Paris,Attraction,48.877896,2.334547
306,Musée Grévin,France,Paris,Attraction,48.871837,2.342097
307,Musée Edith Piaf,France,Paris,Attraction,48.866237,2.381737
308,Espace Dali,France,Paris,Attraction,48.88648,2.339902
309,Cité des Sciences et de l'Industrie,France,Paris,Attraction,48.895752,2.387976
310,Maison de Victor Hugo,France,Paris,Attraction,48.854799,2.366136
311,Vedettes de Paris,France,Paris,Attraction,48.858863,2.291854
312,Maison Européenne de la Photographie,France,Paris,Attraction,48.85512,2.358956
313,Robinier du square René Viviani,France,Paris,Attraction,48.852185,2.34729
314,Cité des Enfants (5-12 ans),France,Paris,Attraction,48.895735,2.388694
315,Place du Carrousel,France,Paris,Attraction,48.861633,2.334045
316,Folie Titon,France,Paris,Attraction,48.850527,2.385844
317,Fontaine Wallace,France,Paris,Attraction,48.837474,2.296437
318,Fontaine Wallace,France,Paris,Attraction,48.841884,2.303066
319,Petite Fontaine Wallace,France,Paris,Attraction,48.837536,2.29636
320,Fontaine Wallace,France,Paris,Attraction,48.841135,2.299682
321,Fontaine Wallace,France,Paris,Attraction,48.827696,2.332304
322,Fontaine Wallace,France,Paris,Attraction,48.852605,2.347228
323,Fontaine Wallace,France,Paris,Attraction,48.842247,2.386097
324,Fontaine Wallace,France,Paris,Attraction,48.852912,2.34307
325,Fontaine Wallace,France,Paris,Attraction,48.841096,2.387775
326,Fontaine Wallace,France,Paris,Attraction,48.836407,2.359557
327,Catacombes de Paris,France,Paris,Attraction,48.833744,2.332292
328,Fontaine Wallace,France,Paris,Attraction,48.835893,2.293331
329,Fontaine Cuvier,France,Paris,Attraction,48.843996,2.355031
330,Statue de George Washington,France,Paris,Attraction,48.864736,2.293906
331,,France,Paris,Attraction,48.847044,2.383599
332,,France,Paris,Attraction,48.858289,2.342124
333,Statue de Saint-Louis,France,Paris,Attraction,48.849218,2.341323
334,,France,Paris,Attraction,48.876992,2.38012
335,Maison natale de Molière,France,Paris,Attraction,48.86124,2.344839
336,Maison natale de Molière,France,Paris,Attraction,48.861512,2.342398
337,Le Petit Bouillon Pharamond,France,Paris,Attraction,48.863005,2.348501
338,Jacob Kaplan,France,Paris,Attraction,48.856988,2.358701
339,Fontaine Médicis,France,Paris,Attraction,48.848059,2.339294
340,,France,Paris,Attraction,48.881334,2.354201
341,Conciergerie,France,Paris,Attraction,48.855949,2.346026
342,Samuel Champlain,France,Paris,Attraction,48.865027,2.310571
343,Jacques Cartier,France,Paris,Attraction,48.865009,2.310579
344,,France,Paris,Attraction,48.896449,2.3853
345,,France,Paris,Attraction,48.896442,2.385697
346,,France,Paris,Attraction,48.896204,2.385676
347,,France,Paris,Attraction,48.896949,2.386787
348,,France,Paris,Attraction,48.896431,2.385022
349,,France,Paris,Attraction,48.896047,2.385683
350,,France,Paris,Attraction,48.896672,2.385485
351,,France,Paris,Attraction,48.896487,2.385177
352,,France,Paris,Attraction,48.895854,2.385556
353,,France,Paris,Attraction,48.896381,2.385119
354,,France,Paris,Attraction,48.896412,2.385766
355,,France,Paris,Attraction,48.896321,2.385234
356,,France,Paris,Attraction,48.896088,2.385638
357,,France,Paris,Attraction,48.896539,2.385911
358,,France,Paris,Attraction,48.895902,2.385503
359,,France,Paris,Attraction,48.896348,2.385156
360,,France,Paris,Attraction,48.896014,2.385579
361,,France,Paris,Attraction,48.895971,2.385764
362,,France,Paris,Attraction,48.89646,2.385729
363,,France,Paris,Attraction,48.896117,2.385608
364,,France,Paris,Attraction,48.896601,2.385915
365,,France,Paris,Attraction,48.895953,2.385454
366,,France,Paris,Attraction,48.896377,2.385316
367,,France,Paris,Attraction,48.896054,2.385539
368,,France,Paris,Attraction,48.896223,2.385817
369,,France,Paris,Attraction,48.895816,2.385449
370,,France,Paris,Attraction,48.895844,2.385412
371,,France,Paris,Attraction,48.89643,2.385276
372,,France,Paris,Attraction,48.89596,2.385622
373,,France,Paris,Attraction,48.89659,2.385605
374,,France,Paris,Attraction,48.896034,2.385883
375,,France,Paris,Attraction,48.896247,2.385972
376,,France,Paris,Attraction,48.895756,2.385336
377,,France,Paris,Attraction,48.896342,2.384819
378,,France,Paris,Attraction,48.895924,2.38567
379,,France,Paris,Attraction,48.896546,2.385642
380,,France,Paris,Attraction,48.896068,2.385841
381,,France,Paris,Attraction,48.896082,2.385987
382,,France,Paris,Attraction,48.896467,2.3856
383,,France,Paris,Attraction,48.896876,2.386457
384,,France,Paris,Attraction,48.896311,2.38486
385,,France,Paris,Attraction,48.896011,2.385721
386,,France,Paris,Attraction,48.896504,2.385686
387,,France,Paris,Attraction,48.896106,2.385798
388,,France,Paris,Attraction,48.863497,2.278449
389,Brasserie Bofinger,France,Paris,Attraction,48.85391,2.368043
390,Musée du Vin,France,Paris,Attraction,48.857522,2.284569
391,Renard des Steppes,France,Paris,Attraction,48.845396,2.361452
392,Takin,France,Paris,Attraction,48.844943,2.361104
393,Markhor,France,Paris,Attraction,48.845599,2.360192
